presion,fire_prob,environment_temperature,altitud_over_sea_level,altitud_over_sea_level_lib_bmp280,altitude_over_sea_level_lib_adafruit,alture,alture_lib_adafruit,alture_lib_bm280,time,visible_image,thermal_image,max_temperature,area_fire,latitud,longitud,distance_xm132
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:55.724250,images/flir_visible_image_2023_06_26_17_09_55_724434.jpg,images/flir_thermal_16gray_2023_06_26_17_09_55_724434.tiff,50.861454,0.06281384149294887,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:56.084927,images/flir_visible_image_2023_06_26_17_09_56_085343.jpg,images/flir_thermal_16gray_2023_06_26_17_09_56_085343.tiff,50.861454,0.06281384149294887,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:56.440466,images/flir_visible_image_2023_06_26_17_09_56_440620.jpg,images/flir_thermal_16gray_2023_06_26_17_09_56_440620.tiff,50.895557,0.06250842573204313,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:56.809983,images/flir_visible_image_2023_06_26_17_09_56_810172.jpg,images/flir_thermal_16gray_2023_06_26_17_09_56_810172.tiff,50.912605,0.06423911504384236,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:57.158136,images/flir_visible_image_2023_06_26_17_09_57_158325.jpg,images/flir_thermal_16gray_2023_06_26_17_09_57_158325.tiff,50.878506,0.06444272555111287,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:57.500030,images/flir_visible_image_2023_06_26_17_09_57_500275.jpg,images/flir_thermal_16gray_2023_06_26_17_09_57_500275.tiff,50.72494,0.06291564674658412,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:57.840649,images/flir_visible_image_2023_06_26_17_09_57_840843.jpg,images/flir_thermal_16gray_2023_06_26_17_09_57_840843.tiff,50.742012,0.06342467301476037,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:58.196752,images/flir_visible_image_2023_06_26_17_09_58_196969.jpg,images/flir_thermal_16gray_2023_06_26_17_09_58_196969.tiff,50.742012,0.06230481522477263,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:58.448166,images/flir_visible_image_2023_06_26_17_09_58_448295.jpg,images/flir_thermal_16gray_2023_06_26_17_09_58_448295.tiff,50.65663,0.06352647826839562,,,
0,0.2,0,0,,,0,0,0,2023-06-26 17:09:58.784718,images/flir_visible_image_2023_06_26_17_09_58_784916.jpg,images/flir_thermal_16gray_2023_06_26_17_09_58_784916.tiff,50.622463,0.06189759421023163,,,
