presion,alture,altitud_sobre_nivel_mar,hora
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
991.5648545526697,0,0,2023-05-26 12:47:25.596172
