presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
702.83741,991.25198,25.02068,3305.56552,2980.8733,3092.29025,2906.73651,3115.44132,2796.09359,"07/20/2023, 18:13:10"
989.6154,991.25198,27.20671,207.92555,198.65896,199.52247,13.96873,17.80134,13.87925,"07/20/2023, 18:13:11"
989.62044,991.25198,27.20975,207.88275,198.61625,199.47948,13.92574,17.75854,13.83654,"07/20/2023, 18:13:11"
989.62014,991.25198,27.2137,207.88809,198.61873,199.48197,13.92823,17.76388,13.83902,"07/20/2023, 18:13:12"
989.62448,991.25198,27.21734,207.85197,198.58197,199.44498,13.89124,17.72776,13.80226,"07/20/2023, 18:13:12"
989.6273,991.25198,27.22008,207.82869,198.55803,199.42088,13.86714,17.70448,13.77832,"07/20/2023, 18:13:13"
989.63334,991.25198,27.22372,207.77732,198.50678,199.36928,13.81555,17.65311,13.72707,"07/20/2023, 18:13:13"
989.63817,991.25198,27.22767,207.73692,198.46575,199.32799,13.77425,17.61271,13.68604,"07/20/2023, 18:13:14"
989.64099,991.25198,27.2304,207.71364,198.44181,199.30389,13.75015,17.58943,13.6621,"07/20/2023, 18:13:14"
989.64099,991.25198,27.2304,207.71364,198.44181,199.30389,13.75015,17.58943,13.6621,"07/20/2023, 18:13:15"
989.63698,991.25198,27.23314,207.75135,198.47588,199.33819,13.78445,17.62714,13.69617,"07/20/2023, 18:13:15"
989.63759,991.25198,27.23557,207.7476,198.47072,199.33299,13.77925,17.62339,13.69101,"07/20/2023, 18:13:16"
989.63699,991.25198,27.2383,207.75481,198.47578,199.33809,13.78435,17.63061,13.69607,"07/20/2023, 18:13:16"
989.62614,991.25198,27.24103,207.85352,198.56786,199.43077,13.87703,17.72932,13.78815,"07/20/2023, 18:13:17"
989.61871,991.25198,27.24377,207.92174,198.63094,199.49427,13.94053,17.79753,13.85123,"07/20/2023, 18:13:17"
989.61881,991.25198,27.24589,207.92227,198.63005,199.49337,13.93963,17.79806,13.85034,"07/20/2023, 18:13:18"
