presion,alture,altitud_sobre_nivel_mar,hora,visible_image,thermal_image
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_06_249456'.jpg,images/b'flir_visible_image_2023_05_26_14_47_06_249456'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_06_386763'.jpg,images/b'flir_visible_image_2023_05_26_14_47_06_386763'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_06_528735'.jpg,images/b'flir_visible_image_2023_05_26_14_47_06_528735'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_06_691964'.jpg,images/b'flir_visible_image_2023_05_26_14_47_06_691964'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_06_926674'.jpg,images/b'flir_visible_image_2023_05_26_14_47_06_926674'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_07_104673'.jpg,images/b'flir_visible_image_2023_05_26_14_47_07_104673'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_07_278848'.jpg,images/b'flir_visible_image_2023_05_26_14_47_07_278848'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_07_422353'.jpg,images/b'flir_visible_image_2023_05_26_14_47_07_422353'.tiff
0,0,0,2023-05-26 14:47:02.029539,,
0,0,0,2023-05-26 14:47:02.029539,images/b'flir_thermal_16gray_2023_05_26_14_47_07_560677'.jpg,images/b'flir_visible_image_2023_05_26_14_47_07_560677'.tiff
