presion,alture,altitud_sobre_nivel_mar,hora,visible_image,thermal_image
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_03_984037'.jpg,images/b'flir_visible_image_2023_05_26_14_48_03_984037'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_04_129311'.jpg,images/b'flir_visible_image_2023_05_26_14_48_04_129311'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_04_274109'.jpg,images/b'flir_visible_image_2023_05_26_14_48_04_274109'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_04_453104'.jpg,images/b'flir_visible_image_2023_05_26_14_48_04_453104'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_04_633333'.jpg,images/b'flir_visible_image_2023_05_26_14_48_04_633333'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_04_787889'.jpg,images/b'flir_visible_image_2023_05_26_14_48_04_787889'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_04_957466'.jpg,images/b'flir_visible_image_2023_05_26_14_48_04_957466'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_05_098900'.jpg,images/b'flir_visible_image_2023_05_26_14_48_05_098900'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_05_252081'.jpg,images/b'flir_visible_image_2023_05_26_14_48_05_252081'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_05_397513'.jpg,images/b'flir_visible_image_2023_05_26_14_48_05_397513'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_05_549322'.jpg,images/b'flir_visible_image_2023_05_26_14_48_05_549322'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_05_766633'.jpg,images/b'flir_visible_image_2023_05_26_14_48_05_766633'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
0,0,0,2023-05-26 14:48:03.780280,images/b'flir_thermal_16gray_2023_05_26_14_48_05_902497'.jpg,images/b'flir_visible_image_2023_05_26_14_48_05_902497'.tiff
0,0,0,2023-05-26 14:48:03.780280,,
