presion,alture,alture_over_sea_level,time,visible_image,thermal_image
990.7330222803253,-2.3473745058437423,-2.3473745058437423,2023-05-26 17:07:31.744869,,
990.7330222803253,-2.3473745058437423,-2.3473745058437423,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_36_010501'.jpg,images/b'flir_visible_image_2023_05_26_17_07_36_010501'.tiff
990.7330222803253,-2.3473745058437423,-2.3473745058437423,2023-05-26 17:07:31.744869,,
990.7330222803253,-2.3473745058437423,-2.3473745058437423,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_36_406793'.jpg,images/b'flir_visible_image_2023_05_26_17_07_36_406793'.tiff
990.7272173215812,-2.297842147030972,-2.297842147030972,2023-05-26 17:07:31.744869,,
990.7272173215812,-2.297842147030972,-2.297842147030972,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_36_976991'.jpg,images/b'flir_visible_image_2023_05_26_17_07_36_976991'.tiff
990.7263207949588,-2.29019226862645,-2.29019226862645,2023-05-26 17:07:31.744869,,
990.7263207949588,-2.29019226862645,-2.29019226862645,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_37_548718'.jpg,images/b'flir_visible_image_2023_05_26_17_07_37_548718'.tiff
990.7276809319444,-2.3017980367747954,-2.3017980367747954,2023-05-26 17:07:31.744869,,
990.7276809319444,-2.3017980367747954,-2.3017980367747954,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_38_116690'.jpg,images/b'flir_visible_image_2023_05_26_17_07_38_116690'.tiff
990.7288541338282,-2.311808713487486,-2.311808713487486,2023-05-26 17:07:31.744869,,
990.7288541338282,-2.311808713487486,-2.311808713487486,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_38_692485'.jpg,images/b'flir_visible_image_2023_05_26_17_07_38_692485'.tiff
990.7331504239861,-2.3484679225353986,-2.3484679225353986,2023-05-26 17:07:31.744869,,
990.7331504239861,-2.3484679225353986,-2.3484679225353986,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_39_267792'.jpg,images/b'flir_visible_image_2023_05_26_17_07_39_267792'.tiff
990.7374706094357,-2.3853308640519484,-2.3853308640519484,2023-05-26 17:07:31.744869,,
990.7374706094357,-2.3853308640519484,-2.3853308640519484,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_39_646911'.jpg,images/b'flir_visible_image_2023_05_26_17_07_39_646911'.tiff
990.7374706094357,-2.3853308640519484,-2.3853308640519484,2023-05-26 17:07:31.744869,,
990.7374706094357,-2.3853308640519484,-2.3853308640519484,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_39_926482'.jpg,images/b'flir_visible_image_2023_05_26_17_07_39_926482'.tiff
990.7432706010638,-2.4348203275695126,-2.4348203275695126,2023-05-26 17:07:31.744869,,
990.7432706010638,-2.4348203275695126,-2.4348203275695126,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_40_467378'.jpg,images/b'flir_visible_image_2023_05_26_17_07_40_467378'.tiff
990.7468459291103,-2.4653273077656,-2.4653273077656,2023-05-26 17:07:31.744869,,
990.7468459291103,-2.4653273077656,-2.4653273077656,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_41_053580'.jpg,images/b'flir_visible_image_2023_05_26_17_07_41_053580'.tiff
990.7490421641671,-2.484066932034022,-2.484066932034022,2023-05-26 17:07:31.744869,,
990.7490421641671,-2.484066932034022,-2.484066932034022,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_41_616447'.jpg,images/b'flir_visible_image_2023_05_26_17_07_41_616447'.tiff
990.7529538955189,-2.517444119773628,-2.517444119773628,2023-05-26 17:07:31.744869,,
990.7529538955189,-2.517444119773628,-2.517444119773628,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_42_221589'.jpg,images/b'flir_visible_image_2023_05_26_17_07_42_221589'.tiff
990.7543043249276,-2.5289667454738116,-2.5289667454738116,2023-05-26 17:07:31.744869,,
990.7543043249276,-2.5289667454738116,-2.5289667454738116,2023-05-26 17:07:31.744869,images/b'flir_thermal_16gray_2023_05_26_17_07_42_783837'.jpg,images/b'flir_visible_image_2023_05_26_17_07_42_783837'.tiff
