presion,alture,alture_over_sea_level,time,visible_image,thermal_image,max_temperature,area_fire,latitud,longitud,distance_xm132
991.2264192484305,11.925297473961331,185.77175806922708,2023-05-31 14:03:39.465011,images/b'flir_visible_image_2023_05_31_14_03_39_465671'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_39_465671'.tiff,57.250816,0.22213906343211418,,,0
991.2264192484305,11.925297473961331,185.77175806922708,2023-05-31 14:03:39.780192,images/b'flir_visible_image_2023_05_31_14_03_39_784057'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_39_784057'.tiff,57.120808,0.21460547466310573,,,0
991.2245576684495,11.94117396337746,185.7876345586415,2023-05-31 14:03:40.090724,images/b'flir_visible_image_2023_05_31_14_03_40_091284'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_40_091284'.tiff,57.137066,0.21480908517037622,,,0
991.2230953056818,11.953645748726393,185.8001063439899,2023-05-31 14:03:40.355161,images/b'flir_visible_image_2023_05_31_14_03_40_355718'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_40_355718'.tiff,57.104546,0.21613255346763446,,,0
991.2230953056818,11.953645748726393,185.8001063439899,2023-05-31 14:03:40.627913,images/b'flir_visible_image_2023_05_31_14_03_40_628541'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_40_628541'.tiff,57.250816,0.2182704637939747,,,0
991.2222847081564,11.96055895121925,185.80701954648308,2023-05-31 14:03:40.917484,images/b'flir_visible_image_2023_05_31_14_03_40_918046'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_40_918046'.tiff,57.2833,0.2172524112576222,,,0
991.2222847081564,11.96055895121925,185.80701954648308,2023-05-31 14:03:41.237077,images/b'flir_visible_image_2023_05_31_14_03_41_241276'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_41_241276'.tiff,57.36447,0.2238697527439134,,,0
991.2217983496412,11.96470687542968,185.81116747069265,2023-05-31 14:03:41.508860,images/b'flir_visible_image_2023_05_31_14_03_41_509305'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_41_509305'.tiff,57.41315,0.23303222557108585,,,0
991.2217983496412,11.96470687542968,185.81116747069265,2023-05-31 14:03:41.777678,images/b'flir_visible_image_2023_05_31_14_03_41_781994'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_41_781994'.tiff,57.23457,0.22305531071483142,,,0
991.2215442121463,11.966874296020508,185.81333489128528,2023-05-31 14:03:42.044294,images/b'flir_visible_image_2023_05_31_14_03_42_044601'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_42_044601'.tiff,57.088284,0.22040837412031494,,,0
991.2215442121463,11.966874296020508,185.81333489128528,2023-05-31 14:03:42.310058,images/b'flir_visible_image_2023_05_31_14_03_42_310420'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_42_310420'.tiff,57.396923,0.22865459966477014,,,0
991.2208485088753,11.972807628758932,185.8192682240246,2023-05-31 14:03:42.574652,images/b'flir_visible_image_2023_05_31_14_03_42_574954'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_42_574954'.tiff,57.315773,0.23466110962924985,,,0
991.2214775053075,11.96744320774275,185.81390380300718,2023-05-31 14:03:42.850165,images/b'flir_visible_image_2023_05_31_14_03_42_850468'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_42_850468'.tiff,57.267056,0.23038528897656937,,,0
991.2214775053075,11.96744320774275,185.81390380300718,2023-05-31 14:03:43.138925,images/b'flir_visible_image_2023_05_31_14_03_43_139227'.jpg,images/b'flir_thermal_16gray_2023_05_31_14_03_43_139227'.tiff,57.15332,0.21816865854033946,,,0
