presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
993.02451,991.25418,24.80475,176.15112,169.76842,170.45061,-15.08444,-20.36621,-14.99272,"07/25/2023, 13:58:12"
993.02162,991.25418,24.80506,176.17685,169.79295,170.47528,-15.05976,-20.34048,-14.96818,"07/25/2023, 13:58:12"
993.01941,991.25418,24.80475,176.19614,169.81164,170.49408,-15.04096,-20.32119,-14.94949,"07/25/2023, 13:58:13"
993.02042,991.25418,24.80536,176.18758,169.80307,170.48547,-15.04958,-20.32975,-14.95806,"07/25/2023, 13:58:13"
993.01922,991.25418,24.80567,176.19831,169.8132,170.49565,-15.03939,-20.31902,-14.94793,"07/25/2023, 13:58:14"
993.01752,991.25418,24.80567,176.21331,169.82761,170.51015,-15.0249,-20.30402,-14.93353,"07/25/2023, 13:58:14"
993.01752,991.25418,24.80567,176.21331,169.82761,170.51015,-15.0249,-20.30402,-14.93353,"07/25/2023, 13:58:15"
993.01821,991.25418,24.80506,176.20687,169.82176,170.50427,-15.03077,-20.31046,-14.93937,"07/25/2023, 13:58:15"
993.01448,991.25418,24.80384,176.239,169.8533,170.536,-14.99905,-20.27833,-14.90783,"07/25/2023, 13:58:16"
993.01329,991.25418,24.80415,176.24973,169.86343,170.54618,-14.98886,-20.26761,-14.89771,"07/25/2023, 13:58:17"
993.01481,991.25418,24.80506,176.23688,169.85058,170.53326,-15.00179,-20.28045,-14.91055,"07/25/2023, 13:58:17"
993.01853,991.25418,24.80627,176.20475,169.81904,170.50153,-15.03351,-20.31258,-14.94209,"07/25/2023, 13:58:18"
993.01412,991.25418,24.80567,176.24333,169.85642,170.53913,-14.99591,-20.274,-14.90471,"07/25/2023, 13:58:18"
993.00951,991.25418,24.80597,176.28406,169.89536,170.5783,-14.95674,-20.23327,-14.86577,"07/25/2023, 13:58:19"
993.00169,991.25418,24.80536,176.35265,169.96156,170.64489,-14.89015,-20.16468,-14.79958,"07/25/2023, 13:58:19"
993.00169,991.25418,24.80536,176.35265,169.96156,170.64489,-14.89015,-20.16468,-14.79958,"07/25/2023, 13:58:20"
993.0027,991.25418,24.80597,176.34409,169.95299,170.63628,-14.89877,-20.17324,-14.80814,"07/25/2023, 13:58:20"
993.00132,991.25418,24.80718,176.35698,169.96468,170.64803,-14.88701,-20.16035,-14.79646,"07/25/2023, 13:58:21"
993.00013,991.25418,24.80749,176.36771,169.9748,170.65822,-14.87683,-20.14962,-14.78633,"07/25/2023, 13:58:21"
993.00132,991.25418,24.80718,176.35698,169.96468,170.64803,-14.88701,-20.16035,-14.79646,"07/25/2023, 13:58:22"
993.00422,991.25418,24.80688,176.33125,169.94014,170.62335,-14.91169,-20.18608,-14.82099,"07/25/2023, 13:58:22"
993.00625,991.25418,24.8081,176.31412,169.92301,170.60612,-14.92892,-20.20321,-14.83812,"07/25/2023, 13:58:23"
993.00795,991.25418,24.8081,176.29912,169.9086,170.59163,-14.94342,-20.21821,-14.85253,"07/25/2023, 13:58:23"
993.01407,991.25418,24.8087,176.24553,169.85682,170.53953,-14.99551,-20.2718,-14.90432,"07/25/2023, 13:58:24"
993.01407,991.25418,24.8087,176.24553,169.85682,170.53953,-14.99551,-20.2718,-14.90432,"07/25/2023, 13:58:24"
993.01407,991.25418,24.8087,176.24553,169.85682,170.53953,-14.99551,-20.2718,-14.90432,"07/25/2023, 13:58:25"
993.01066,991.25418,24.8087,176.27555,169.88563,170.56852,-14.96653,-20.24178,-14.8755,"07/25/2023, 13:58:25"
