,presion,fire_prob,environment_temperature,altitud_over_sea_level,altitud_over_sea_level_lib_bmp280,altitude_over_sea_level_lib_adafruit,alture,alture_lib_adafruit,alture_lib_bm280,time,visible_image,thermal_image,max_temperature,area_fire,latitud,longitud,distance_xm132,rule_verde,rule_naranja,rule_rojo,alert_prob
0,990.5753807372377,0.5,24.423314717403105,176.4930076588182,188.37503800842725,176.4930076588182,14.02247763042348,14.02247763042348,9.14288234086419,2023-07-21 12:09:08.501383,images/flir_visible_image_2023_07_21_12_09_08_504749.jpg,images/flir_thermal_16gray_2023_07_21_12_09_08_504749.tiff,182.24362,0.1514427584085736,,,,0.0,0.4958238567388804,0.5041761432611196,0.7520880716305598
1,990.5597850538076,0.5,24.47737220695783,176.4930076588182,188.37503800842725,176.4930076588182,14.154724589467207,14.154724589467207,9.316488475097032,2023-07-21 12:09:09.056150,images/flir_visible_image_2023_07_21_12_09_09_059403.jpg,images/flir_thermal_16gray_2023_07_21_12_09_09_059403.tiff,182.24362,0.1447179042027127,,,,0.0,0.5667576109184331,0.43324238908156687,0.7166211945407834
2,990.5409925765742,0.5,24.519281970839096,176.4930076588182,188.37503800842725,176.4930076588182,14.314081690289951,14.314081690289951,9.5103083491758,2023-07-21 12:09:09.591408,images/flir_visible_image_2023_07_21_12_09_09_594691.jpg,images/flir_thermal_16gray_2023_07_21_12_09_09_594691.tiff,182.24362,0.1463471712015244,,,,0.0,0.5229828140927668,0.4770171859072332,0.7385085929536166
3,990.5308099781004,0.5,24.55511787306825,176.4930076588182,188.37503800842725,176.4930076588182,14.400429464886855,14.400429464886855,9.624080438359613,2023-07-21 12:09:10.180541,images/flir_visible_image_2023_07_21_12_09_10_183900.jpg,images/flir_thermal_16gray_2023_07_21_12_09_10_183900.tiff,182.24362,0.1451563290060595,,,,0.0,0.5272409624242334,0.47275903757576665,0.7363795187878833
4,990.5341037902598,0.5,24.588827931139623,176.4930076588182,188.37503800842725,176.4930076588182,14.37249807277442,14.37249807277442,9.617400846482724,2023-07-21 12:09:10.753388,images/flir_visible_image_2023_07_21_12_09_10_756622.jpg,images/flir_thermal_16gray_2023_07_21_12_09_10_756622.tiff,182.24362,0.1469444202960456,,,,0.0,0.5068133028614237,0.4931866971385763,0.7465933485692882
5,990.5119401931904,0.5,24.627700808287138,176.4930076588182,188.37503800842725,176.4930076588182,14.560445917073965,14.560445917073965,9.83908592858333,2023-07-21 12:09:11.388752,images/flir_visible_image_2023_07_21_12_09_11_391998.jpg,images/flir_thermal_16gray_2023_07_21_12_09_11_391998.tiff,182.24362,0.1530594074802815,,,,0.0,0.39671887580336396,0.603281124196636,0.801640562098318
6,990.5056145926866,0.5,24.647440948344617,176.4930076588182,188.37503800842725,176.4930076588182,14.614087788411837,14.614087788411837,9.908122824426044,2023-07-21 12:09:11.920590,images/flir_visible_image_2023_07_21_12_09_11_923891.jpg,images/flir_thermal_16gray_2023_07_21_12_09_11_923891.tiff,182.24362,0.14520557626566,,,,0.0,0.4972920235307332,0.5027079764692668,0.7513539882346334
7,990.5056145926866,0.5,24.647440948344617,176.4930076588182,188.37503800842725,176.4930076588182,14.614087788411837,14.614087788411837,9.908122824426044,2023-07-21 12:09:12.513748,images/flir_visible_image_2023_07_21_12_09_12_516990.jpg,images/flir_thermal_16gray_2023_07_21_12_09_12_516990.tiff,182.24362,0.1462577905864256,,,,0.0,0.4827796468896519,0.5172203531103481,0.758610176555174
8,990.5179667868877,0.5,24.678417793194445,176.4930076588182,188.37503800842725,176.4930076588182,14.50933991830368,14.50933991830368,9.8195855063737,2023-07-21 12:09:13.030432,images/flir_visible_image_2023_07_21_12_09_13_033768.jpg,images/flir_thermal_16gray_2023_07_21_12_09_13_033768.tiff,182.24362,0.1504328362729725,,,,0.0,0.44006782989690185,0.5599321701030981,0.7799660850515491
9,990.5230898286492,0.5,24.72245352436885,176.4930076588182,188.37503800842725,176.4930076588182,14.465896310525975,14.465896310525975,9.803608601475275,2023-07-21 12:09:13.563121,images/flir_visible_image_2023_07_21_12_09_13_566346.jpg,images/flir_thermal_16gray_2023_07_21_12_09_13_566346.tiff,182.24362,0.144774690275744,,,,0.0,0.5234827304563012,0.4765172695436988,0.7382586347718494
10,990.533370547242,0.5,24.76345233005252,176.4930076588182,188.37503800842725,176.4930076588182,14.378715937002482,14.378715937002482,9.740005520575892,2023-07-21 12:09:14.153769,images/flir_visible_image_2023_07_21_12_09_14_157024.jpg,images/flir_thermal_16gray_2023_07_21_12_09_14_157024.tiff,182.24362,0.1490785268348417,,,,0.0,0.47699098810583296,0.523009011894167,0.7615045059470835
11,990.5362613059028,0.5,24.79898464507141,176.4930076588182,188.37503800842725,176.4930076588182,14.35420246931062,14.35420246931062,9.7380780617504,2023-07-21 12:09:14.661318,images/flir_visible_image_2023_07_21_12_09_14_664552.jpg,images/flir_thermal_16gray_2023_07_21_12_09_14_664552.tiff,182.24362,0.1498578737796028,,,,0.0,0.46988212489193737,0.5301178751080626,0.7650589375540313
12,990.5311992431792,0.5,24.831783718901807,176.4930076588182,188.37503800842725,176.4930076588182,14.39712850905326,14.39712850905326,9.804644830883944,2023-07-21 12:09:15.265642,images/flir_visible_image_2023_07_21_12_09_15_268929.jpg,images/flir_thermal_16gray_2023_07_21_12_09_15_268929.tiff,182.24362,0.1461596486239087,,,,0.0,0.5140605983037771,0.48593940169622285,0.7429697008481114
